epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_macro_f1
1,0.5930567317538791,1.0,0.5603409210840861,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.46530066265000236,1.0,0.4730160137017568,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.3497235013378991,1.0,0.40614061223136055,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
4,0.2519068734513389,1.0,0.36341166496276855,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
5,0.17606341342131296,1.0,0.3448598351743486,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.6207148234049479,1.0,0.5761324630843269,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.48627091778649223,1.0,0.485013206799825,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.3663416935337914,1.0,0.41252350476053024,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
4,0.2617434511582057,1.0,0.36553825106885696,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
5,0.18079895112249586,1.0,0.344938263297081,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.6204704377386305,1.0,0.5774383611149259,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.4906659225622813,1.0,0.4875459637906816,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.661037458313836,0.7777777777777778,0.6111097004678514,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.5350152850151062,1.0,0.5215486851003435,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.41912394762039185,1.0,0.44616294900576275,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.6393319567044576,0.8888888888888888,0.5887888471285502,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.5013083650006188,1.0,0.495497895611657,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.5004788438479105,1.0,0.4937738643752204,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.6340323554144965,0.8888888888888888,0.5880183842447069,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.5024610393577151,1.0,0.49630625049273175,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.5019924773110284,1.0,0.49518657724062604,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.6434321535958184,0.8888888888888888,0.5888592667049832,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.5065244833628336,1.0,0.5000215967496237,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.3896344039175246,1.0,0.4282279776202308,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.640664623843299,0.8888888888888888,0.5952016909917196,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.5157203707430098,1.0,0.5102676616774665,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.4062513013680776,1.0,0.44011122981707257,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
1,0.6166659659809537,1.0,0.5793757372432284,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
2,0.4917883939213223,1.0,0.4934254553582933,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
3,0.379182861910926,1.0,0.4236699806319343,0.8888888888888888,0.4444444444444444,0.5,0.47058823529411764
